Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
0,5.33473722433013,6.98202830605396,1.29760772528817,875,125,0,1,0,0,0,0,0.501908396946565,0.498091603053435,0.015394402035624,0.984605597964377
0,5.0605989253721,6.72470153393185,1.66922427129961,875,125,0,1,0,0,0,0,0.500220264317181,0.499779735682819,0.089339906300259,0.910660093699741
0,5.35888125539823,7.0719128217483,1.76044061202858,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.38094092262734,8.57589194295003,1.87637620994641,875,125,0,1,0,0,0,0,0.500333333333333,0.499666666666667,0.001888888888889,0.998111111111111
0,5.35802113151726,6.13699867146495,1.74877674662686,875,125,0,1,0,0,0,0,0.502166666666667,0.497833333333333,0.136629023754024,0.863370976245976
0,4.99677823743659,5.61972445719402,1.550124504326,875,125,0,1,0,0,0,0,0.500208333333333,0.499791666666667,0.003541666666667,0.996458333333333
0,5.19639397168869,5.06534202797519,1.5049345326869,875,125,0,1,0,0,0,0,0.503015873015873,0.496984126984127,0.109365079365079,0.890634920634921
0,5.41902912478478,7.76428290185268,1.13689052497754,875,125,0,1,0,0,0,0,0.500416666666667,0.499583333333333,0.013541666666667,0.986458333333333
0,5.42799947909561,8.07022901678926,1.3310594608124,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.11421645910852,5.62306897489721,0.983026848429971,0.998678439108409,0.001321560891591,0.028645833333333,0.971354166666667,0.000454638281145,0.000454638281145,0.131316383229242,0.131316383229242,0.5,0.5,0,1
0,2.94801030184352,1.96114191442975,1.06322775632368,0.8203125,0.1796875,0.071428571428572,0.928571428571429,0.108459175993287,0.108459175993287,0.109479434962116,0.109479434962116,0.5,0.5,0,1
0,5.2338030627126,8.00828984136095,1.65270341152438,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,4.7235082460152,6.91746573894785,1.83052745279903,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,4.64304317735628,6.71317423533594,3.50211216715241,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.4542202046061,9.19132081172719,0.551477413016114,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.40887899988021,8.3022334545938,0.094193915265172,875,125,0,1,0,0,0,0,0.5,0.5,0.002099076406381,0.997900923593619
0,3.69642201226188,4.40519346455733,3.1656873141573,0.74296875,0.25703125,0.111049107142857,0.888950892857143,0.155868582084243,0.155868582084243,0.111878920793336,0.111878920793336,0.5,0.5,0,1
0,5.0378361665035,6.14504627597354,1.7831446405106,875,125,0,1,0,0,0,0,0.50025641025641,0.49974358974359,0.011282051282051,0.988717948717949
0,5.19543465347575,8.76503400080698,0.469489097646417,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.42853688135148,8.98316311033903,0.609518178160226,0.870703125,0.129296875,0.00390625,0.99609375,0.034375,0.034375,0.03125,0.03125,0.516666666666667,0.483333333333333,0.026593806921676,0.973406193078324
0,2.66889280200854,3.76385364664333,3.40092004851074,0.677176339285714,0.322823660714286,0.139508928571429,0.860491071428571,0.164690196621096,0.164690196621096,0.108684813317844,0.108684813317844,0.5,0.5,0,1
